freq,hhtyp,incgrp,unit,geo,year,value
A,A1_DCH,TOTAL,PC,EU27_2007,2003,21.0
A,A1_DCH,TOTAL,PC,EU27_2020,2003,
A,A1_DCH,TOTAL,PC,EU28,2003,
A,A1_DCH,TOTAL,PC,FI,2003,24.7
A,A1_DCH,TOTAL,PC,FR,2003,21.8
A,A1_DCH,TOTAL,PC,HR,2003,
A,A1_DCH,TOTAL,PC,HU,2003,31.1
A,A1_DCH,TOTAL,PC,IE,2003,31.3
A,A1_DCH,TOTAL,PC,IS,2003,23.7
A,A1_DCH,TOTAL,PC,IT,2003,16.6
A,A1_DCH,TOTAL,PC,LT,2003,22.8
A,A1_DCH,TOTAL,PC,LU,2003,3.5
A,A1_DCH,TOTAL,PC,LV,2003,17.6
A,A1_DCH,TOTAL,PC,ME,2003,
A,A1_DCH,TOTAL,PC,MK,2003,
A,A1_DCH,TOTAL,PC,MT,2003,18.9
A,A1_DCH,TOTAL,PC,NL,2003,12.5
A,A1_DCH,TOTAL,PC,NO,2003,25.7
A,A1_DCH,TOTAL,PC,PL,2003,34.4
A,A1_DCH,TOTAL,PC,PT,2003,21.3
A,A1_DCH,TOTAL,PC,RO,2003,21.7
A,A1_DCH,TOTAL,PC,RS,2003,
A,A1_DCH,TOTAL,PC,SE,2003,16.1
A,A1_DCH,TOTAL,PC,SI,2003,22.9
A,A1_DCH,TOTAL,PC,SK,2003,15.8
A,A1_DCH,TOTAL,PC,TR,2003,43.9
A,A1_DCH,TOTAL,PC,UK,2003,29.9
A,A1_DCH,TOTAL,PC,XK,2003,
A,A1_GE65,A_MD60,PC,AL,2003,
A,A1_GE65,A_MD60,PC,AT,2003,0.7
A,A1_GE65,A_MD60,PC,BE,2003,0.1
A,A1_GE65,A_MD60,PC,BG,2003,14.0
A,A1_GE65,A_MD60,PC,CH,2003,3.1
