dim0,dim1,dim2,dim3,dim4,geo,year,value
A,TO_EMP,EMP_PT,F,PC,PT,2006,79.1
A,TO_EMP,EMP_PT,F,PC,RO,2006,92.8
A,TO_EMP,EMP_PT,F,PC,RS,2006,
A,TO_EMP,EMP_PT,F,PC,SE,2006,90.5
A,TO_EMP,EMP_PT,F,PC,SI,2006,
A,TO_EMP,EMP_PT,F,PC,SK,2006,79.8
A,TO_EMP,EMP_PT,F,PC,TR,2006,
A,TO_EMP,EMP_PT,F,PC,UK,2006,88.8
A,TO_EMP,EMP_PT,M,PC,AL,2006,
A,TO_EMP,EMP_PT,M,PC,AT,2006,88.2
A,TO_EMP,EMP_PT,M,PC,BE,2006,83.6
A,TO_EMP,EMP_PT,M,PC,BG,2006,74.9
A,TO_EMP,EMP_PT,M,PC,CH,2006,
A,TO_EMP,EMP_PT,M,PC,CY,2006,84.1
A,TO_EMP,EMP_PT,M,PC,CZ,2006,66.2
A,TO_EMP,EMP_PT,M,PC,DE,2006,87.3
A,TO_EMP,EMP_PT,M,PC,DK,2006,40.3
A,TO_EMP,EMP_PT,M,PC,EA,2006,81.1
A,TO_EMP,EMP_PT,M,PC,EA18,2006,81.1
A,TO_EMP,EMP_PT,M,PC,EA19,2006,81.1
A,TO_EMP,EMP_PT,M,PC,EA20,2006,
A,TO_EMP,EMP_PT,M,PC,EE,2006,82.7
A,TO_EMP,EMP_PT,M,PC,EL,2006,64.1
A,TO_EMP,EMP_PT,M,PC,ES,2006,78.2
A,TO_EMP,EMP_PT,M,PC,EU,2006,82.0
A,TO_EMP,EMP_PT,M,PC,EU27_2007,2006,82.0
A,TO_EMP,EMP_PT,M,PC,EU27_2020,2006,81.9
A,TO_EMP,EMP_PT,M,PC,EU28,2006,82.0
A,TO_EMP,EMP_PT,M,PC,FI,2006,65.3
A,TO_EMP,EMP_PT,M,PC,FR,2006,82.5
A,TO_EMP,EMP_PT,M,PC,HR,2006,68.8
A,TO_EMP,EMP_PT,M,PC,HU,2006,74.1
A,TO_EMP,EMP_PT,M,PC,IE,2006,84.7
A,TO_EMP,EMP_PT,M,PC,IS,2006,81.4
A,TO_EMP,EMP_PT,M,PC,IT,2006,71.2
A,TO_EMP,EMP_PT,M,PC,LT,2006,83.0
A,TO_EMP,EMP_PT,M,PC,LU,2006,89.2
A,TO_EMP,EMP_PT,M,PC,LV,2006,79.6
A,TO_EMP,EMP_PT,M,PC,ME,2006,
A,TO_EMP,EMP_PT,M,PC,MK,2006,
A,TO_EMP,EMP_PT,M,PC,MT,2006,80.2
A,TO_EMP,EMP_PT,M,PC,NL,2006,85.6
A,TO_EMP,EMP_PT,M,PC,NO,2006,77.9
A,TO_EMP,EMP_PT,M,PC,PL,2006,84.0
A,TO_EMP,EMP_PT,M,PC,PT,2006,66.6
A,TO_EMP,EMP_PT,M,PC,RO,2006,96.6
